CVEs

<html xmlns:v="urn:schemas-microsoft-com:vml"
xmlns:o="urn:schemas-microsoft-com:office:office"
xmlns:x="urn:schemas-microsoft-com:office:excel"
xmlns="http://www.w3.org/TR/REC-html40">

<head>


</head>

<body link="#0563C1" vlink="#954F72">



Resource | Installed Version | Vulnerability Name | NVD CVSS v3 Score | Fix Version | Resource Path
-- | -- | -- | -- | -- | --
jackson-databind | 2.4.0 | CVE-2018-14721 | 10 | 2.6.7.2 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
calcite-core | 1.29.0 | CVE-2022-39135 | 9.8 | 1.32.0 | /trino-server-403/plugin/pinot/calcite-core-1.29.0.jar
log4j | 1.2.17 | CVE-2022-23305 | 9.8 |   | /trino-server-403/plugin/accumulo/log4j-1.2.17.jar
log4j | 1.2.17 | CVE-2019-17571 | 9.8 |   | /trino-server-403/plugin/accumulo/log4j-1.2.17.jar
log4j | 1.2.17 | CVE-2022-23305 | 9.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
log4j | 1.2.17 | CVE-2019-17571 | 9.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
hadoop-common | 3.1.3 | CVE-2022-26612 | 9.8 | 3.2.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
hadoop-common | 3.1.3 | CVE-2022-25168 | 9.8 | 3.2.4 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
hadoop-common | 3.1.3 | CVE-2021-37404 | 9.8 | 3.2.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
h2 | 1.4.200 | CVE-2022-23221 | 9.8 | 2.0.206 | /trino-server-403/plugin/raptor-legacy/h2-1.4.200.jar
h2 | 1.4.200 | CVE-2021-42392 | 9.8 |   | /trino-server-403/plugin/raptor-legacy/h2-1.4.200.jar
nimbus-jose-jwt | 4.41.1 | CVE-2019-17195 | 9.8 | 7.9 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-20330 | 9.8 | 2.7.9.7 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-17531 | 9.8 | 2.9.10.1 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-17267 | 9.8 | 2.8.11.5 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-16943 | 9.8 | 2.9.10.1 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
