CI porblems in  Cache maven repository 
A lot of CI targets seem to be having trouble today in the Cache maven repository step. They run for about an hour while stuck at 99.3%. I;ve seen this across multiple asuites. 


2024-05-07T18:06:56.5005250Z env:
2024-05-07T18:06:56.5005639Z   CONTINUOUS_INTEGRATION: true
2024-05-07T18:06:56.5006080Z   MAVEN_OPTS: -Xmx1024M -XX:+ExitOnOutOfMemoryError
2024-05-07T18:06:56.5006597Z   MAVEN_INSTALL_OPTS: -Xmx2G -XX:+ExitOnOutOfMemoryError
2024-05-07T18:06:56.5007425Z   MAVEN_FAST_INSTALL: -B -V --quiet -T 1C -DskipTests -Dair.check.skip-all -Dmaven.javadoc.skip=true
2024-05-07T18:06:56.5008084Z   RETRY: .github/bin/retry
2024-05-07T18:06:56.5008558Z   JAVA_HOME: /opt/hostedtoolcache/Java_Temurin-Hotspot_jdk/8.0.402-6/x64
2024-05-07T18:06:56.5009182Z ##[endgroup]
2024-05-07T18:06:58.3269478Z Received 0 of 1238326839 (0.0%), 0.0 MBs/sec
2024-05-07T18:06:59.3271017Z Received 71303168 of 1238326839 (5.8%), 34.0 MBs/sec
2024-05-07T18:07:00.3275537Z Received 159383552 of 1238326839 (12.9%), 50.6 MBs/sec
2024-05-07T18:07:01.3288285Z Received 226492416 of 1238326839 (18.3%), 54.0 MBs/sec
2024-05-07T18:07:02.3346134Z Received 293601280 of 1238326839 (23.7%), 56.0 MBs/sec
2024-05-07T18:07:03.3299468Z Received 343932928 of 1238326839 (27.8%), 54.6 MBs/sec
2024-05-07T18:07:04.3298325Z Received 390070272 of 1238326839 (31.5%), 53.1 MBs/sec
2024-05-07T18:07:05.3296920Z Received 432013312 of 1238326839 (34.9%), 51.5 MBs/sec
2024-05-07T18:07:06.3305334Z Received 482344960 of 1238326839 (39.0%), 51.1 MBs/sec
2024-05-07T18:07:07.3314327Z Received 528482304 of 1238326839 (42.7%), 50.4 MBs/sec
2024-05-07T18:07:08.3318183Z Received 570425344 of 1238326839 (46.1%), 49.4 MBs/sec
2024-05-07T18:07:09.3323193Z Received 616562688 of 1238326839 (49.8%), 49.0 MBs/sec
2024-05-07T18:07:10.3319756Z Received 662700032 of 1238326839 (53.5%), 48.6 MBs/sec
2024-05-07T18:07:11.3314849Z Received 687865856 of 1238326839 (55.5%), 46.8 MBs/sec
2024-05-07T18:07:12.3316541Z Received 738197504 of 1238326839 (59.6%), 46.9 MBs/sec
2024-05-07T18:07:13.3328725Z Received 788529152 of 1238326839 (63.7%), 47.0 MBs/sec
2024-05-07T18:07:14.3328051Z Received 813694976 of 1238326839 (65.7%), 45.6 MBs/sec
2024-05-07T18:07:15.3335440Z Received 843055104 of 1238326839 (68.1%), 44.6 MBs/sec
2024-05-07T18:07:16.3335369Z Received 872415232 of 1238326839 (70.5%), 43.8 MBs/sec
2024-05-07T18:07:17.3341783Z Received 897581056 of 1238326839 (72.5%), 42.8 MBs/sec
2024-05-07T18:07:18.3339145Z Received 922746880 of 1238326839 (74.5%), 41.9 MBs/sec
2024-05-07T18:07:19.3335646Z Received 947912704 of 1238326839 (76.5%), 41.1 MBs/sec
2024-05-07T18:07:20.3343894Z Received 973078528 of 1238326839 (78.6%), 40.3 MBs/sec
2024-05-07T18:07:21.3353661Z Received 998244352 of 1238326839 (80.6%), 39.7 MBs/sec
2024-05-07T18:07:22.3350349Z Received 1015021568 of 1238326839 (82.0%), 38.7 MBs/sec
2024-05-07T18:07:23.3345739Z Received 1040187392 of 1238326839 (84.0%), 38.1 MBs/sec
2024-05-07T18:07:24.3351415Z Received 1069547520 of 1238326839 (86.4%), 37.8 MBs/sec
2024-05-07T18:07:25.3353261Z Received 1090519040 of 1238326839 (88.1%), 37.1 MBs/sec
2024-05-07T18:07:26.3352310Z Received 1111490560 of 1238326839 (89.8%), 36.5 MBs/sec
2024-05-07T18:07:27.3347220Z Received 1136656384 of 1238326839 (91.8%), 36.1 MBs/sec
2024-05-07T18:07:28.3355304Z Received 1166016512 of 1238326839 (94.2%), 35.9 MBs/sec
2024-05-07T18:07:29.3358515Z Received 1186988032 of 1238326839 (95.9%), 35.4 MBs/sec
2024-05-07T18:07:30.3363682Z Received 1212153856 of 1238326839 (97.9%), 35.0 MBs/sec
2024-05-07T18:07:31.3363448Z Received 1221549623 of 1238326839 (98.6%), 34.3 MBs/sec
2024-05-07T18:07:32.3364996Z Received 1225743927 of 1238326839 (99.0%), 33.4 MBs/sec
2024-05-07T18:07:33.3377650Z Received 1225743927 of 1238326839 (99.0%), 32.5 MBs/sec
2024-05-07T18:07:34.3388935Z Received 1225743927 of 1238326839 (99.0%), 31.6 MBs/sec
2024-05-07T18:07:35.3402571Z Received 1225743927 of 1238326839 (99.0%), 30.8 MBs/sec
2024-05-07T18:07:36.3414744Z Received 1225743927 of 1238326839 (99.0%), 30.0 MBs/sec
2024-05-07T18:07:37.3418688Z Received 1225743927 of 1238326839 (99.0%), 29.2 MBs/sec
2024-05-07T18:07:38.3430991Z Received 1225743927 of 1238326839 (99.0%), 28.5 MBs/sec
2024-05-07T18:07:39.3444057Z Received 1225743927 of 1238326839 (99.0%), 27.8 MBs/sec
2024-05-07T18:07:40.3445851Z Received 1225743927 of 1238326839 (99.0%), 27.2 MBs/sec
2024-05-07T18:07:41.3458837Z Received 1225743927 of 1238326839 (99.0%), 26.6 MBs/sec
2024-05-07T18:07:42.3471178Z Received 1225743927 of 1238326839 (99.0%), 26.0 MBs/sec
2024-05-07T18:07:43.3478049Z Received 1225743927 of 1238326839 (99.0%), 25.4 MBs/sec
2024-05-07T18:07:44.3488739Z Received 1225743927 of 1238326839 (99.0%), 24.9 MBs/sec
2024-05-07T18:07:45.3492478Z Received 1225743927 of 1238326839 (99.0%), 24.3 MBs/sec
2024-05-07T18:07:46.3504276Z Received 1225743927 of 1238326839 (99.0%), 23.8 MBs/sec
2024-05-07T18:07:47.3516914Z Received 1225743927 of 1238326839 (99.0%), 23.4 MBs/sec
2024-05-07T18:07:48.3529740Z Received 1225743927 of 1238326839 (99.0%), 22.9 MBs/sec
2024-05-07T18:07:49.3542161Z Received 1225743927 of 1238326839 (99.0%), 22.5 MBs/sec
2024-05-07T18:07:50.3554118Z Received 1225743927 of 1238326839 (99.0%), 22.0 MBs/sec
2024-05-07T18:07:51.3566879Z Received 1225743927 of 1238326839 (99.0%), 21.6 MBs/sec
2024-05-07T18:07:52.3575112Z Received 1225743927 of 1238326839 (99.0%), 21.2 MBs/sec
2024-05-07T18:07:53.3588106Z Received 1225743927 of 1238326839 (99.0%), 20.9 MBs/sec
2024-05-07T18:07:54.3600814Z Received 1225743927 of 1238326839 (99.0%), 20.5 MBs/sec
2024-05-07T18:07:55.3613141Z Received 1225743927 of 1238326839 (99.0%), 20.1 MBs/sec
2024-05-07T18:07:56.3626080Z Received 1225743927 of 1238326839 (99.0%), 19.8 MBs/sec
2024-05-07T18:07:57.3637812Z Received 1225743927 of 1238326839 (99.0%), 19.5 MBs/sec
2024-05-07T18:07:58.3650450Z Received 1225743927 of 1238326839 (99.0%), 19.2 MBs/sec
2024-05-07T18:07:59.3663663Z Received 1225743927 of 1238326839 (99.0%), 18.8 MBs/sec
2024-05-07T18:08:00.3675973Z Received 1225743927 of 1238326839 (99.0%), 18.5 MBs/sec
2024-05-07T18:08:01.3688743Z Received 1225743927 of 1238326839 (99.0%), 18.3 MBs/sec
2024-05-07T18:08:02.3701316Z Received 1225743927 of 1238326839 (99.0%), 18.0 MBs/sec
2024-05-07T18:08:03.3713929Z Received 1225743927 of 1238326839 (99.0%), 17.7 MBs/sec
2024-05-07T18:08:04.3726894Z Received 1225743927 of 1238326839 (99.0%), 17.4 MBs/sec
2024-05-07T18:08:05.3739361Z Received 1225743927 of 1238326839 (99.0%), 17.2 MBs/sec
2024-05-07T18:08:06.3751204Z Received 1225743927 of 1238326839 (99.0%), 16.9 MBs/sec
2024-05-07T18:08:07.3763286Z Received 1225743927 of 1238326839 (99.0%), 16.7 MBs/sec
2024-05-07T18:08:08.3765748Z Received 1225743927 of 1238326839 (99.0%), 16.5 MBs/sec
2024-05-07T18:08:09.3778495Z Received 1225743927 of 1238326839 (99.0%), 16.2 MBs/sec
2024-05-07T18:08:10.3791491Z Received 1225743927 of 1238326839 (99.0%), 16.0 MBs/sec
2024-05-07T18:08:11.3803419Z Received 1225743927 of 1238326839 (99.0%), 15.8 MBs/sec
2024-05-07T18:08:12.3806473Z Received 1225743927 of 1238326839 (99.0%), 15.6 MBs/sec
2024-05-07T18:08:13.3812659Z Received 1225743927 of 1238326839 (99.0%), 15.4 MBs/sec
2024-05-07T18:08:14.3824948Z Received 1225743927 of 1238326839 (99.0%), 15.2 MBs/sec
2024-05-07T18:08:15.3837626Z Received 1225743927 of 1238326839 (99.0%), 15.0 MBs/sec
2024-05-07T18:08:16.3849316Z Received 1225743927 of 1238326839 (99.0%), 14.8 MBs/sec
2024-05-07T18:08:17.3856631Z Received 1225743927 of 1238326839 (99.0%), 14.6 MBs/sec
2024-05-07T18:08:18.3868846Z Received 1225743927 of 1238326839 (99.0%), 14.4 MBs/sec
2024-05-07T18:08:19.3881195Z Received 1225743927 of 1238326839 (99.0%), 14.2 MBs/sec
2024-05-07T18:08:20.3893727Z Received 1225743927 of 1238326839 (99.0%), 14.1 MBs/sec
2024-05-07T18:08:21.3905885Z Received 1225743927 of 1238326839 (99.0%), 13.9 MBs/sec
2024-05-07T18:08:22.3918327Z Received 1225743927 of 1238326839 (99.0%), 13.7 MBs/sec
2024-05-07T18:08:23.3931160Z Received 1225743927 of 1238326839 (99.0%), 13.6 MBs/sec
