Query stuck at 99%
0.0 - 0.9 are blocked. Looks like some sort of deadlock.

Not quite sure how to debug it and what information it might be useful to attach to the issue.

In query details I see the following:
> 
> ID |  HOST | STATE | -- | -- | Blocked splits | Completed splits | -- | -- | -- | -- | -- | -- | --
> -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | --
> 0.0 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.4K | 1.41G | 1.33M | 0.00ns | 34.71s | 35.0M
> 0.1 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.4K | 1.41G | 1.33M | 0.00ns | 35.57s | 35.0M
> 0.2 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.3K | 1.41G | 1.33M | 0.00ns | 33.81s | 35.0M
> 0.3 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.4K | 1.42G | 1.34M | 0.00ns | 34.90s | 35.0M
> 0.4 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.3K | 1.41G | 1.33M | 0.00ns | 36.13s | 35.0M
> 0.5 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.4K | 1.42G | 1.34M | 0.00ns | 38.48s | 35.0M
> 0.6 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.4K | 1.42G | 1.34M | 0.00ns | 38.21s | 35.0M
> 0.7 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.3K | 1.41G | 1.33M | 0.00ns | 36.62s | 35.0M
> 0.8 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.3K | 1.41G | 1.33M | 0.00ns | 37.81s | 35.0M
> 0.9 |  #.#.#.# | RUNNING | 0 | 0 | 16 | 16 | 12.3M | 11.4K | 1.41G | 1.33M | 0.00ns | 36.46s | 35.0M
> 1.0 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.16m | 0
> 1.1 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.10m | 0
> 1.2 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.10m | 0
